Period,Team,Player,Type,X,Y,Time,Strength
1,MSU,15,Shot,38.75,26.75,20:00,EVEN
1,MSU,29,Block,36.5,-21.75,20:00,EVEN
1,BC,25,Miss,-74.75,-9.5,20:00,EVEN
1,BC,27,Miss,-67.0,14.75,20:00,EVEN
1,BC,15,Shot,-76.5,-17.5,20:00,EVEN
1,BC,9,Shot,-82.75,2.5,20:00,EVEN
1,MSU,20,Shot,64.75,3.0,20:00,EVEN
1,BC,34,Miss,-84.75,4.25,14:37,EVEN
1,MSU,27,Shot,30.75,-17.75,14:37,EVEN
1,BC,19,Shot,-73.0,-1.5,14:27,EVEN
1,MSU,28,Miss,38.75,-8.75,12:28,EVEN
1,MSU,20,Shot,84.25,2.75,12:18,EVEN
1,BC,25,Shot,-75.75,-9.0,11:29,EVEN
1,BC,22,Block,-80.75,2.75,11:25,EVEN
1,MSU,18,Miss,40.5,14.25,10:35,EVEN
1,BC,9,Shot,-69.0,-17.75,10:10,EVEN
1,BC,34,Shot,-81.75,-1.0,10:10,EVEN
1,MSU,16,Miss,36.25,29.5,10:10,EVEN
1,MSU,9,Shot,36.75,-27.5,8:54,EVEN
1,BC,10,Shot,-81.75,16.0,8:10,EVEN
1,BC,26,Shot,-36.5,30.75,8:01,EVEN
1,BC,11,Block,-39.0,-10.25,7:59,EVEN
1,MSU,18,Shot,68.75,-25.5,7:59,EVEN
1,MSU,10,Block,63.75,16.5,6:38,EVEN
1,MSU,22,Block,54.25,-17.0,6:09,EVEN
1,MSU,28,Shot,55.0,36.25,5:32,EVEN
1,BC,9,Miss,-78.75,-1.5,4:11,EVEN
1,BC,26,Miss,-39.25,-22.0,4:34,EVEN
1,BC,25,Shot,-64.0,-2.75,4:16,EVEN
1,BC,8,Miss,-36.5,20.5,4:09,EVEN
1,MSU,13,Miss,71.5,11.5,3:37,EVEN
1,BC,22,Shot,-86.75,-6.75,2:38,EVEN
1,MSU,28,Shot,42.25,-34.75,2:21,EVEN
